Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
352,FamilyMart Kelapa Sawit Taman Impiana Jalan Impiana 1 Kelapa Sawit Kulai Johor,"No. 23(GF), Jalan Impiana 1, Taman Impiana, Kelapa Sawit, 81030 Kulai, Johor","Taman Impiana, No. 9(GF, Jln Impiana 1, Kelapa Sawit, 81030 Kulai, Johor, Malaysia",1.6756703,103.5312147,"1.6756703, 103.5312147"
353,FamilyMart Alma,"No. 1 (Ground & Mezzanine), Persiaran Seri Impian, Pusat Perniagaan Mahkota Impian, 14000 Bukit Mertajam, Pulau Pinang.","1, Persiaran Seri Impian, Pusat Perniagaan Mahkota Impian, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.3182091,100.4768709,"5.3182091, 100.4768709"
354,FamilyMart Bandar Kinrara,"No. 53-G , Jalan BK 5A/2, Bandar Kinrara, 47180 Puchong, Selangor","53-G, Jalan BK 5a/2, Bandar Kinrara, 47180 Puchong, Selangor, Malaysia",3.0465138,101.6457375,"3.0465138, 101.6457375"
355,FamilyMart Petron Medan Sejahtera,"Stesen Minyak Petron, PT 50174 (Lot Lama 44434), Jalan Sitiawan-Lumut, 32000 Sitiawan, Perak","Stesen Minyak Petron, PT 50174 (Lot Lama 44434 Jalan Sitiawan, 32000 Sitiawan, Perak, Malaysia",4.2112233,100.6821405,"4.2112233, 100.6821405"
356,FamilyMart Desa Petaling,"39-G, Jalan 1/125D, Desa Petaling, 57100 Kuala Lumpur.","39-G, Jln 1/125d, Desa Petaling, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.083052,101.7045683,"3.083052, 101.7045683"
357,FamilyMart Taman Sejati,"No. 3A & 5 (Ground Floor), Jalan Permatang Gedong, Taman Sejati Indah, 08000 Sungai Petani, Kedah Darul Aman","No.5, Ground Floor Gedung, Jalan Permatang Gedong, Taman Sejati Indah, 08000 Sungai Petani, Kedah, Malaysia",5.6135673,100.4826807,"5.6135673, 100.4826807"
358,FamilyMart Bangi Seksyen 7,"No.43 Jalan 7/7C, Seksyen 7, 43650 Bandar Baru Bangi, Selangor.","43, Jalan 7/7c, Seksyen 7, 43650 Bandar Baru Bangi, Selangor, Malaysia",2.9699452,101.774515,"2.9699452, 101.774515"
359,FamilyMart Puchong Permai,"No. 11G, Jalan Puchong Permai 2, Taman Puchong Permai, , 47100 Puchong, Selangor","11G, Jalan Puchong Permai 2, Taman Puchong Permai, 47100 Puchong, Selangor, Malaysia",3.00864,101.5995782,"3.00864, 101.5995782"
360,FamilyMart Mentakab,"No.64 & 65, Jalan Temerloh, 28400 Mentakab, Pahang.","67, Jalan Temerloh - Mentakab, Taman Bendera, 28400 Mentakab, Pahang, Malaysia",3.4850108,102.3493915,"3.4850108, 102.3493915"
361,FamilyMart Wangsa Melawati,"No. 33-G, Jalan Wangsa Setia 1, Taman Wangsa Melawati, 53300 Kuala Lumpur.","33-G, Jalan Wangsa Setia 1, Taman Wangsa Melawati, Wangsa Melawati, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2097856,101.7441514,"3.2097856, 101.7441514"
