Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
251,FamilyMart Jade Hills,"36, Jalan Dataran Jade 5, Jade Hills, 43000 Kajang, Selangor.","36, Jalan Dataran Jade 5, Jade Hills, 43000 Kajang, Selangor, Malaysia",2.9931393,101.7604648,"2.9931393, 101.7604648"
252,FamilyMart Caltex Jalan Song Ban Kheng,"Lot 2551, Mukim, 10, Jalan Song Ban Kheng, 14000, Pulau Pinang","Lot 2551, Mukim, 10, Jalan Song Ban Kheng, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.3509096,100.4537758,"5.3509096, 100.4537758"
253,FamilyMart Dataran Puchong,"No: A-G-12, Block A, Dataran Puchong, Jalan PU 7/1, Taman Puchong Utama, 47140 Puchong, Selangor","A-G-12, Block A, Dataran Puchong, Jalan PU 7/1, Taman Puchong Utama, 47140 Puchong, Selangor, Malaysia",2.9909391,101.6171646,"2.9909391, 101.6171646"
