Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
123,FamilyMart NU Empire Subang,"LG-11, Lower Ground Level,  Empire Shopping Gallery, Jalan SS 16/1, 47500 Subang Jaya, Selangor.","LG-11, Lower Ground Level, Empire Shopping Gallery, Jalan SS 16/1, Ss 16, 47500 Subang Jaya, Selangor, Malaysia",3.0819527,101.5826485,"3.0819527, 101.5826485"
124,FamilyMart Ampang Jaya,"No.1A-00-06, Pangsapuri Melati Merdeka Villa, Jalan Merdeka Villa, 68000 Ampang, Selangor.","No.1A-00-06, Pangsapuri Melati Merdeka Villa, Villa, Jalan Merdeka, Kampung Baru Ampang, 68000 Ampang, Selangor, Malaysia",3.1385441,101.7643673,"3.1385441, 101.7643673"
125,FamilyMart Gelang Patah,"No. 27-01, Jalan Nusaria 11/1, Taman Nusantara,81550  Gelang Patah, Johor. ","No. 27, Jalan Nusaria 11/1, Taman Nusantara, 81550 Gelang Patah, Johor, Malaysia",1.4610675,103.5841078,"1.4610675, 103.5841078"
126,FamilyMart Caltex Kuala Selangor,"Lot 139 Batu 2, Jalan Kuala Selangor, Klang, 45000 Kuala Selangor, Selangor.","Lot 139 Batu 2, Jalan Kuala Selangor, Klang, Kampung Baharu, 45000 Kuala Selangor, Selangor, Malaysia",3.3149175,101.2769927,"3.3149175, 101.2769927"
127,FamilyMart Ayer Keroh,"No. 3,Ground Floor, Jalan Komersial TAKH 2, Taman Ayer Keroh Heights, 75450 Ayer Keroh, Melaka.","No. 3, Jalan Komersial TAKH 2, Taman Ayer Keroh Heights, Taman Muzaffar Shah, 75450 Ayer Keroh, Melaka, Malaysia",2.2531351,102.2911511,"2.2531351, 102.2911511"
128,FamilyMart Centrepoint Seremban,"G-14, Ground Floor, Centerpoint Seremban, 33, Jalan Dato Siamang Gagap, Betaria Business Centre, 70100 Seremban, Negeri Sembilan.","G-14, Ground Floor, Centerpoint Seremban, 33, Jalan Dato Siamang Gagap, Betaria Business Centre, 70100 Seremban, Negeri Sembilan, Malaysia",2.723466,101.9552558,"2.723466, 101.9552558"
