Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
319,FamilyMart Caltex Dengkil Bypass,"PT 3353, KM48.7, Jalan Pintasan Dengkil-Putrajaya (FT29) Arah Utara, 43800 Dengkil, Selangor Darul Ehsan.","PT 3353, KM48.7, Jalan Pintasan Dengkil-Putrajaya, FT29) Arah Utara, 43800 Dengkil, Selangor, Malaysia",2.8692263,101.6851197,"2.8692263, 101.6851197"
321,FamilyMart Seri Botani,"No.2, Jalan Lapangan Siber 10, Bandar Cyber, 31350 Ipoh, Perak.","2, Jalan Lapangan Siber 10, Bandar Cyber, 31350 Ipoh, Perak, Malaysia",4.5434794,101.1099572,"4.5434794, 101.1099572"
322,FamilyMart Batu Gajah,"No.11-G (Ground floor), Jalan Kemajuan, 31000 Batu Gajah, Perak.","11, Jalan Kemajuan, Kampung Sungai Terap, 31000 Batu Gajah, Perak, Malaysia",4.4726131,101.0415457,"4.4726131, 101.0415457"
323,FamilyMart Eco Borealis,"31-G & 33-G, Jalan Borealis 3, Pusat Komersial Borealis, 14100 Bandar Cassia, Pulau Pinang. ","31-G & 33-G, Jalan Borealis 3, Lebuhraya Bandar Cassia, Pusat Komersial Borealis, 14110 Simpang Ampat, Penang, Malaysia",5.2364748,100.4432475,"5.2364748, 100.4432475"
324,FamilyMart Bandar Tasik Puteri,"No. 106G, Jalan 7A/2, Medan Puteri, Bandar Tasik Puteri, 48020 Rawang, Selangor.","Medan Puteri, 106G, Jalan 7a/2, Bandar Tasik Puteri, 48020 Rawang, Selangor, Malaysia",3.2832006,101.4734552,"3.2832006, 101.4734552"
325,FamilyMart Seri Iskandar,"No. 2 & 3 (Ground Floor), Persiaran SIBC 2, Seri Iskandar Business Centre, 32610, Seri Iskandar, Perak. ","No. 2 & 3 (Ground Floor, Persiaran SIBC 2, Business Centre, 32610 Seri Iskandar, Perak, Malaysia",4.3583297,100.9670962,"4.3583297, 100.9670962"
326,FamilyMart Subang Bestari,"1-G, Jalan Nova U5/N, Subang Bestari Sek U5, 40150 Shah Alam, Selangor.","1-G, Jalan Nova U5/N, Subang Bestari Sek U5, Subang Bestari Sek, U5 Shah Alam, 40150 Shah Alam, Selangor, Malaysia",3.1789571,101.5477976,"3.1789571, 101.5477976"
327,FamilyMart Bentong Prima,"P65-G, Jalan Prima 1, Pusat Komersial Bentong Prima, 28700 Bentong, Pahang.","P65-G, Jalan Prima 1, Pusat Komersial Bentong Prima, 28700 Bentong, Pahang, Malaysia",3.5148148,101.9136332,"3.5148148, 101.9136332"
329,FamilyMart melati utama,"37G, Jalan Taman Melati Utama 4, Taman Melati Utama, 53100 Wilayah Persekutuan Kuala Lumpur.","Melati Utama, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.223253,101.7278651,"3.223253, 101.7278651"
330,FamilyMart Kuala Lipis,"No. 3 & 4, Jalan Pusat Perniagaan Barry, Pusat Perniagaan Barry @ Kuala Lipis, 27200 Lipis, Pahang Darul Makmur.","Jalan Barry, 27200 Kuala Lipis, Pahang, Malaysia",4.1894347,102.0497573,"4.1894347, 102.0497573"
331,FamilyMart Taman Yayasan,"No 15, Jalan PKY 1, Pusat Komersial Yayasan, 85000 Segamat.","15, Jalan PKY 1, Pusat Komersial Yayasan, 85000 Segamat, Johor, Malaysia",2.5476893,102.793637,"2.5476893, 102.793637"
332,FamilyMart Simpang Renggam,"13, Jalan Kijang, Taman Mohd Yassin, 86200 Simpang Renggam.","13, Jln Kijang, Taman Rekamas, 86200 Simpang Renggam, Johor, Malaysia",1.8225591,103.3143259,"1.8225591, 103.3143259"
333,FamilyMart Mantin,"No. 15 & 16, Jalan Surian 11, Taman Surian, 71700 Mantin, Negeri Sembilan","15 & 16, Jalan Surian 11, Taman Surian, 71700 Mantin, Negeri Sembilan, Malaysia",2.8355965,101.8675429,"2.8355965, 101.8675429"
334,FamilyMart Southville,"Savanna Lifestyle Retail, Jalan BBLS 2 Bandar Baru Lembah Selatan Bandar Baru, Lembah Selatan, 43800 Dengkil, Selangor.","Savanna Lifestyle Retail Jalan BBLS 2 Bandar Baru, Lembah Selatan, Bandar Baru, Lembah Selatan, 43800 Dengkil, Selangor, Malaysia",2.903016,101.7622927,"2.903016, 101.7622927"
335,FamilyMart Caltex Teluk Air Tawar,"Jalan Teluk Air Tawar, Teluk Air Tawar, 13050 Butterworth, Pulau Pinang.","Jalan Teluk Air Tawar, Telok Air Tawar, 13050 Butterworth, Pulau Pinang, Malaysia",5.4792454,100.3839225,"5.4792454, 100.3839225"
336,FamilyMart Bandar Baru Kampar,"No.2222 (Ground Floor), Jalan Batu Karang, Taman Bandar Baru, 31900 Kampar, Perak.","No.2222 (Ground Floor, Jalan Batu Karang, Taman Bandar Baru, 31900 Kampar, Perak, Malaysia",4.3265718,101.146038,"4.3265718, 101.146038"
337,FamilyMart Sikamat,"No. 9 (Ground Floor), Jalan Seri Pandan 1 Taman Seri Pandan, Kampung Sikamat Lama, 70400, N9","No. 9 (Ground Floor), Jalan Seri Pandan 1, Taman, Persiaran Seri Pandan, Kampung Sikamat Lama, 70400 Sikamat, Negeri Sembilan, Malaysia",2.7476686,101.971619,"2.7476686, 101.971619"
338,FamilyMart Caltex Jalan Pudu,"Jalan Pudu, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Jln Pudu, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1371042,101.7113371,"3.1371042, 101.7113371"
339,FamilyMart Bandar Baru Sungai Buloh,"No. 374, Jalan 1a/3, Bandar Baru Sungai Buloh, 47000 Sungai Buloh, Selangor.","Jalan 1a/3, Bandar Baru Sungai Buloh, 47000 Sungai Buloh, Selangor, Malaysia",3.2117519,101.5642573,"3.2117519, 101.5642573"
