Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
68,FamilyMart Kuchai Lama,"No.5G, Jalan Kuchai Maju 8, Kuchai Lama, 58200, Kuala Lumpur.","5G, Jalan Kuchai Maju 8, Kuchai Lama, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0896505,101.6866774,"3.0896505, 101.6866774"
69,FamilyMart Shah Alam Seksyen 18,"27G (Ground Floor), Jalan Pinang B, 18/B, Seksyen 18, 40000 Shah Alam, Selangor","27G, Jalan Pinang B 18/B, Seksyen 18, 40000 Shah Alam, Selangor, Malaysia",3.0444785,101.5180281,"3.0444785, 101.5180281"
70,FamilyMart Bandar Menjalara,"No. 55 (Ground Floor), Jalan 3/62A, Bandar Menjalara, Kepong, 52100 Kuala Lumpur","55G, Jalan 3/62a, Bandar Menjalara, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1951142,101.6307614,"3.1951142, 101.6307614"
71,FamilyMart Fraser Business Park,"48G , Jalan Metro Pudu 2, off Jalan Yew, 55100 Kuala Lumpur","48G, Jalan Metro Pudu 2, off, Jln Yew, Fraser Business Park, 55100 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1294138,101.714086,"3.1294138, 101.714086"
72,FamilyMart Midpoint Shopping Complex,"Lot R.G.02, Level G, MidPoint Shopping Complex, Jalan Pandan Indah 1/25, Pandan Indah, 55100 Kuala Lumpur.","Lot R.G.02, Level G, MidPoint Shopping Complex, Jalan Pandan Indah 1/25, Pandan Indah, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1326045,101.7525191,"3.1326045, 101.7525191"
73,FamilyMart SACC Mall,"GF-32B,Ground Floor, SACC Mall, Jalan Perbadanan 14/9, Seksyen 14, 40000 Shah Alam, Selangor.","GF-32, Ground Floor Jalan Perbadanan 14/9 SACC Mall, Seksyen 14, 40000 Shah Alam, Selangor, Malaysia",3.071773,101.517661,"3.071773, 101.517661"
74,FamilyMart Glenmarie,"No. 3 (Ground Floor), Jalan Peniaga U1/34, Glenmarie , Seksyen U 1 , 40150 Shah Alam, Selangor . ","No 3, Jalan Peniaga U1/34, Hicom-glenmarie Industrial Park, 40150 Shah Alam, Selangor, Malaysia",3.0818993,101.5593066,"3.0818993, 101.5593066"
75,FamilyMart Mid Valley,"T-030A, Third Floor, Mid Valley Megamall, Lingkaran Syed Putra, 59200 Kuala Lumpur","North Court F-027C, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1189765,101.6780026,"3.1189765, 101.6780026"
76,FamilyMart Kompleks Mutiara,"568-G-8 & 568-G-25, Kompleks Mutiara, 3 1/2 Miles, Jalan Ipoh, 52100 Kuala Lumpur","568-G-8 & 568-G, Kompleks Mutiara, 25, Jln Ipoh, Batu Complex Bussiness Centre, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1891002,101.680826,"3.1891002, 101.680826"
77,FamilyMart Mahkota Cheras,"No.2A, Jalan Temenggung 7/9, Seksyen 9, Bandar Mahkota Cheras, 43200, Cheras, Selangor","G-2A, Jalan Temenggung 7/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor, Malaysia",3.0525292,101.7869193,"3.0525292, 101.7869193"
78,FamilyMart Menara U,"G-9 , Menara U, Jalan Boling Padang 13/62, Section 13, 40100 Shah Alam, Selangor.","G-9 , Menara U, Persiaran Olahraga, Section 13, 40100 Shah Alam, Selangor, Malaysia",3.0757893,101.5518521,"3.0757893, 101.5518521"
79,FamilyMart Plaza Damas,"P-8A, Plaza Floor,Hartamas Shopping Centre, No.60, Jalan Sri Hartamas 1,
Sri Hartamas, 50480 Kuala Lumpur.","P-8A, Plaza Floor, No, 60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1637328,101.6569934,"3.1637328, 101.6569934"
80,FamilyMart Kapar,"G - 270, KU/13, Jalan Besar, 42200 Kapar Klang, Selangor. ","270, Lorong Dato Kaya Kecil 5, Taman Kapar, 42200 Kapar, Selangor, Malaysia",3.1390434,101.3698473,"3.1390434, 101.3698473"
81,FamilyMart Kelana Jaya Dataran Glomac,"F-G-02, Jalan SS6/ 5B, Dataran Glomac, Kelana Jaya, 47301 Petaling Jaya, Selangor.","Ss 6, 47301 Petaling Jaya, Selangor, Malaysia",3.1035673,101.600145,"3.1035673, 101.600145"
