Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
254,FamilyMart C-Mart Nibong Tebal,"Unit 62 & 63a, C Mart Nibong Tebal, Taman Perindustrian Nibong Tebal, 14300 Nibong Tebal, Penang.","Unit 62 & 63a, C Mart, Taman Perindustrian Nibong Tebal, 14300 Nibong Tebal, Penang, Malaysia",5.1786529,100.4822081,"5.1786529, 100.4822081"
255,FamilyMart Caltex Setia Sentral,"No.1, Jalan Setia Sentral, Pusat Perniagaan Setia Sentral, 14000 Bukit Mertajam, Penang.","No.1, Jalan Setia Sentral, Pusat Perniagaan Setia Sentral, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.3553914,100.4173214,"5.3553914, 100.4173214"
256,FamilyMart Caltex Salak South,"A portion of Lot 166, Salak South Garden, 57100 Kuala Lumpur.","A portion of Lot 166, Salak South Garden, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0830919,101.6960449,"3.0830919, 101.6960449"
257,FamilyMart Cameron Centrum (Kedai Serbaneka Family Mart),"C-G-43, Presint 1, Cameron Centrum, 39100 Brinchang, Cameron Highlands, Pahang D. M.","C-G-43, Presint 1, Cameron Centrum, Brinchang, 39100 Brinchang, Pahang, Malaysia",4.4953895,101.3895319,"4.4953895, 101.3895319"
258,FamilyMart Bukit Bakri,"No 3, Jalan Sinar Bakri 2, Pusat Perniagaan Sinar Bakri 84000 Muar, Johor,","3, Jalan Sinar Bakri 2, Pusat Perniagaan Sinar Bakri, Taman Bakri Indah, 84200 Muar, Johor, Malaysia",2.0410186,102.6562956,"2.0410186, 102.6562956"
259,FamilyMart Teluk Intan,"No.1B, Ground Floor, Laman Intan, Bandar Baru Teluk Intan, Jalan Changkat Jong, 36000 Perak.","No.1B, Ground Floor, Laman Intan, Jalan Changkat Jong, Bandar Baru Teluk Intan, 36000 Teluk Intan, Perak, Malaysia",4.0207081,101.0225687,"4.0207081, 101.0225687"
260,FamilyMart Tangkak,"LC 171, Jalan Muar, Kampung Tanjong Batu 15, 84900 Tangkak, Johor.","171, Jalan Muar, Kampung Tanjong Batu 15, 84900 Tangkak, Johor, Malaysia",2.2622591,102.5366292,"2.2622591, 102.5366292"
261,"FamilyMart Greentown, Ipoh","No. 4 (Ground Floor), Persiaran Greentown 10, Greentown Business Centre, 30450 Ipoh, Perak.","No. 4 (Ground Floor, Persiaran Greentown 10, Greentown Business Centre, 30450 Ipoh, Perak, Malaysia",4.5995962,101.0962434,"4.5995962, 101.0962434"
262,"FamilyMart Manhattan Business Centre, Station 18","Jalan Pengkalan Putra 1, Kampung Paya, 31650 Ipoh, Perak","14, Jalan Pengkalan Putra 1, Pusat Perniagaan Pengkalan Putra, 31650 Ipoh, Perak, Malaysia",4.5530371,101.0752393,"4.5530371, 101.0752393"
263,FamilyMart Bidor,"No. 2, (Ground Floor), PT 11166, No. 3, (Ground Floor), PT 11167, Jalan Tapah-Bidor,, 35500 Bidor, Perak ","No. 2, (Ground Floor), PT 11166, No. 3, (Ground Floor PT 11167 Jalan Tapah, 35500 Bidor, Perak, Malaysia",4.1132428,101.2863483,"4.1132428, 101.2863483"
