Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
315,FamilyMart The Core,"No. 3, Jalan Teknologi 3/6B, Taman Sains Selangor, Sek 3, Kota Damansara, 47810 Petaling Jaya, Selangor.","3, Jalan Teknologi 3/6B, Taman Sains Selangor 1, 47810 Petaling Jaya, Selangor, Malaysia",3.1570698,101.5707966,"3.1570698, 101.5707966"
316,FamilyMart TTDI Grove,"No. 70-1, Jalan TTDI Grove 1/1, Taman TTDI Grove, 43000 Kajang, Selangor.","No. 70, 1, Jalan TTDI Grove 1/1, 43000 Kajang, Selangor, Malaysia",2.9962582,101.8139927,"2.9962582, 101.8139927"
317,FamilyMart Caltex Ulu Yam,"A portion of PT 545, Kampung Batu 30, Mukim Hulu Yam, Daerah Hulu Selangor, Selangor Darul Ehsan.","Part of Caltex Ulu Yam, PT 545, Mukim, Kampung Batu 30, 44300 Batang Kali, Selangor, Malaysia",3.439029,101.6316941,"3.439029, 101.6316941"
318,FamilyMart Caltex S2 Heights,"PT 27159, Jalan Rimbun Indah 2, S2 Heights, 70300 Seremban, Negeri Sembilan","PT 27159, Jalan Rimbun Indah 2, S2 Heights, 70300 Seremban, Negeri Sembilan, Malaysia",2.7118028,101.8891042,"2.7118028, 101.8891042"
